LRCA1101.MV,LRCA1101.PV,PDR1401.PV,PIC1101A.PV,TI_1145.PV
81.0658,33.2,12.358,15.0302,497.45
81.0908,33.2,12.358,15.0302,497.51
81.1158,33.2,12.358,15.0302,497.54
81.0901,33.195,12.358,15.0215,497.57
81.1145,33.195,12.358,15.0213,497.63
81.1389,33.195,12.357,15.021,497.66
81.1633,33.195,12.355,15.0293,497.69
81.137,33.19,12.355,15.0293,497.72
81.1608,33.19,12.355,15.0293,497.78
81.1339,33.185,12.356,15.0293,497.81
81.157,33.185,12.356,15.0293,497.84
81.1295,33.18,12.356,15.0293,497.9
81.152,33.18,12.356,15.0293,497.93
81.1745,33.18,12.356,15.0293,497.96
81.197,33.18,12.356,15.0293,497.99
81.2195,33.18,12.355,15.0207,498.05
81.242,33.18,12.355,15.0204,498.08
81.2645,33.18,12.355,15.0202,498.14
81.287,33.18,12.354,15.0199,498.17
81.3095,33.18,12.353,15.0196,498.23
81.3826,33.185,12.353,15.0193,498.26
81.4057,33.185,12.352,15.019,498.32
81.4289,33.185,12.352,15.0188,498.35
81.5026,33.19,12.351,15.0185,498.41
81.5264,33.19,12.351,15.0182,498.47
81.6008,33.195,12.351,15.0179,498.5
81.6251,33.195,12.351,15.0177,498.56
81.6495,33.195,12.351,15.0174,498.59
81.6739,33.195,12.351,15.0171,498.65
81.6983,33.195,12.351,15.0168,498.68
81.7226,33.195,12.351,15.0165,498.71
81.747,33.195,12.351,15.0163,498.77
81.7714,33.195,12.351,15.016,498.8
81.7451,33.19,12.351,15.0157,498.83
81.7689,33.19,12.351,15.0154,498.86
81.742,33.185,12.351,15.0238,498.92
81.7651,33.185,12.352,15.0238,498.95
81.7377,33.18,12.352,15.0238,498.98
81.7602,33.18,12.353,15.0238,499.01
81.732,33.175,12.353,15.0238,499.04
81.7539,33.175,12.353,15.0238,499.07
81.7251,33.17,12.354,15.0238,499.13
81.7464,33.17,12.354,15.0238,499.16
81.717,33.165,12.354,15.0238,499.19
81.7376,33.165,12.354,15.0238,499.22
81.7076,33.16,12.354,15.0238,499.25
81.7276,33.16,12.354,15.0238,499.28
81.697,33.155,12.354,15.0238,499.31
81.7164,33.155,12.353,15.0238,499.37
81.7357,33.155,12.353,15.0238,499.4
81.7045,33.15,12.353,15.0238,499.43
81.7232,33.15,12.353,15.0238,499.46
81.742,33.15,12.353,15.0238,499.49
81.7607,33.15,12.352,15.0152,499.52
81.7795,33.15,12.352,15.0149,499.58
81.7477,33.145,12.352,15.0146,499.61
81.7658,33.145,12.351,15.0143,499.64
81.7839,33.145,12.35,15.014,499.67
81.7514,33.14,12.35,15.0224,499.7
81.7689,33.14,12.35,15.0224,499.73
81.7358,33.135,12.349,15.0224,499.76
81.7526,33.135,12.351,15.0138,499.79
81.7695,33.135,12.351,15.0135,499.82
81.7358,33.13,12.351,15.0132,499.85
81.7521,33.13,12.348,15.0129,499.88
81.7177,33.125,12.348,15.0127,499.91
81.7333,33.125,12.348,15.0124,499.94
81.6983,33.12,12.348,15.0121,499.97
81.7133,33.12,12.348,15.0118,500.0
81.6776,33.115,12.348,15.0115,500.03
81.6414,33.11,12.348,15.0113,500.06
81.6045,33.105,12.348,15.011,500.09
81.567,33.1,12.347,15.0107,500.09
81.5289,33.095,12.347,15.0104,500.12
81.4902,33.09,12.347,15.0102,500.15
81.4508,33.085,12.347,15.0099,500.18
81.4108,33.08,12.346,15.0096,500.18
81.3702,33.075,12.346,15.0093,500.21
81.3289,33.07,12.345,15.009,500.21
81.287,33.065,12.344,15.0088,500.24
81.1939,33.055,12.344,15.0085,500.24
81.0995,33.045,12.344,14.9996,500.24
81.0545,33.04,12.343,14.9991,500.27
80.9583,33.03,12.343,14.9985,500.27
80.8608,33.02,12.341,14.9979,500.27
80.762,33.01,12.34,14.9974,500.27
80.662,33.0,12.34,14.9968,500.27
80.5608,32.99,12.34,14.9963,500.27
80.4583,32.98,12.339,14.9957,500.27
80.3545,32.97,12.338,14.9952,500.27
80.2495,32.96,12.338,14.9946,500.27
80.1433,32.95,12.337,14.9854,500.27
80.0864,32.945,12.336,14.9846,500.24
79.9783,32.935,12.334,14.9838,500.24
79.9195,32.93,12.332,14.9829,500.24
79.8601,32.925,12.331,14.9821,500.24
79.7495,32.915,12.33,14.9813,500.24
79.6883,32.91,12.329,14.9718,500.21
79.5758,32.9,12.328,14.9707,500.21
79.4114,32.885,12.327,14.9696,500.21
79.2958,32.875,12.324,14.9685,500.18
79.1789,32.865,12.323,14.9588,500.15
79.0608,32.855,12.321,14.9574,500.15
78.8908,32.84,12.32,14.956,500.12
78.7695,32.83,12.318,14.9546,500.12
78.647,32.82,12.317,14.9532,500.09
78.5233,32.81,12.316,14.9518,500.06
78.4489,32.805,12.314,14.9504,500.03
78.3233,32.795,12.313,14.949,500.03
78.247,32.79,12.312,14.939,500.0
78.1195,32.78,12.311,14.9374,499.97
78.0414,32.775,12.309,14.9357,499.94
77.8614,32.76,12.306,14.934,499.91
77.7301,32.75,12.305,14.9324,499.88
77.547,32.735,12.304,14.9221,499.85
77.4126,32.725,12.302,14.9202,499.82
77.2264,32.71,12.301,14.9182,499.79
77.0889,32.7,12.298,14.9163,499.76
76.9501,32.69,12.297,14.9143,499.73
76.8102,32.68,12.295,14.9124,499.67
76.6689,32.67,12.294,14.9104,499.64
76.5264,32.66,12.292,14.9085,499.61
76.3826,32.65,12.291,14.8979,499.55
76.2883,32.645,12.29,14.8957,499.52
76.1426,32.635,12.288,14.8935,499.49
75.9958,32.625,12.285,14.8913,499.43
75.8476,32.615,12.284,14.889,499.4
75.6983,32.605,12.282,14.8868,499.34
75.5476,32.595,12.281,14.8846,499.31
75.3958,32.585,12.279,14.8738,499.25
75.2933,32.58,12.278,14.8713,499.22
75.1395,32.57,12.276,14.8688,499.16
74.9845,32.56,12.273,14.8663,499.1
74.8789,32.555,12.272,14.8638,499.07
74.722,32.545,12.27,14.8613,499.01
74.5639,32.535,12.269,14.8588,498.95
74.4551,32.53,12.267,14.8477,498.92
74.2951,32.52,12.266,14.8449,498.86
74.1339,32.51,12.264,14.8421,498.8
73.9714,32.5,12.261,14.8393,498.74
73.8583,32.495,12.259,14.8365,498.68
73.6939,32.485,12.258,14.8338,498.65
73.5789,32.48,12.256,14.831,498.59
73.4632,32.475,12.255,14.8282,498.53
73.347,32.47,12.253,14.8254,498.47
73.2301,32.465,12.252,14.8227,498.41
73.1126,32.46,12.25,14.8199,498.35
72.9439,32.45,12.249,14.8085,498.29
72.8245,32.445,12.247,14.8054,498.23
72.6539,32.435,12.245,14.8024,498.17
72.5326,32.43,12.242,14.7993,498.11
72.3601,32.42,12.241,14.7963,498.05
72.237,32.415,12.239,14.7932,497.99
72.1133,32.41,12.238,14.7902,497.93
71.9889,32.405,12.237,14.7871,497.87
71.8133,32.395,12.235,14.784,497.81
71.687,32.39,12.234,14.781,497.72
71.5601,32.385,12.233,14.7779,497.66
71.4326,32.38,12.231,14.7749,497.6
71.3045,32.375,12.23,14.7718,497.54
71.1757,32.37,12.228,14.7688,497.48
71.0464,32.365,12.227,14.7657,497.39
70.9164,32.36,12.226,14.7627,497.33
70.8364,32.36,12.224,14.7596,497.27
70.7564,32.36,12.223,14.7565,497.21
70.6764,32.36,12.221,14.7535,497.12
70.5457,32.355,12.22,14.7504,497.06
70.4651,32.355,12.219,14.7474,497.0
70.3338,32.35,12.217,14.7443,496.94
70.202,32.345,12.216,14.7413,496.85
70.0695,32.34,12.215,14.7382,496.79
69.987,32.34,12.213,14.7352,496.73
69.8539,32.335,12.212,14.7321,496.67
69.7201,32.33,12.211,14.729,496.58
69.5858,32.325,12.21,14.726,496.52
69.5014,32.325,12.209,14.7229,496.46
69.3664,32.32,12.207,14.7199,496.37
69.2814,32.32,12.207,14.7168,496.31
69.1964,32.32,12.205,14.7138,496.22
69.1114,32.32,12.204,14.7107,496.16
69.0264,32.32,12.203,14.7077,496.1
68.9414,32.32,12.202,14.7132,496.01
68.8057,32.315,12.202,14.7104,495.95
68.7201,32.315,12.2,14.7077,495.89
68.5839,32.31,12.201,14.7049,495.8
68.447,32.305,12.2,14.6935,495.74
68.3601,32.305,12.199,14.699,495.65
68.2733,32.305,12.197,14.6963,495.59
68.237,32.31,12.195,14.6935,495.5
68.1507,32.31,12.196,14.6907,495.44
68.0645,32.31,12.195,14.6879,495.35
67.9782,32.31,12.194,14.6851,495.29
67.892,32.31,12.193,14.6824,495.23
67.7551,32.305,12.192,14.6796,495.14
67.6683,32.305,12.192,14.6768,495.08
67.5814,32.305,12.191,14.674,494.99
67.4945,32.305,12.189,14.6799,494.93
67.4076,32.305,12.189,14.6774,494.84
67.2701,32.3,12.188,14.6749,494.78
67.1826,32.3,12.189,14.6724,494.69
67.0951,32.3,12.189,14.6699,494.6
67.0076,32.3,12.187,14.6674,494.54
66.9201,32.3,12.187,14.6649,494.45
66.8832,32.305,12.186,14.6624,494.39
66.7964,32.305,12.186,14.6599,494.3
66.7601,32.31,12.185,14.6574,494.24
66.6738,32.31,12.184,14.6635,494.15
66.5876,32.31,12.183,14.6613,494.06
66.5013,32.31,12.183,14.659,494.0
66.3645,32.305,12.184,14.6568,493.91
66.3282,32.31,12.184,14.6546,493.85
66.242,32.31,12.182,14.6524,493.76
66.2063,32.315,12.182,14.6501,493.67
66.1714,32.32,12.181,14.6479,493.61
66.0864,32.32,12.181,14.6457,493.52
66.052,32.325,12.181,14.6435,493.46
66.0182,32.33,12.18,14.6413,493.37
65.9345,32.33,12.179,14.639,493.31
65.8507,32.33,12.178,14.6454,493.22
65.767,32.33,12.178,14.6435,493.13
65.6832,32.33,12.177,14.6415,493.07
65.5995,32.33,12.179,14.6396,492.98
65.5664,32.335,12.178,14.6376,492.92
65.5339,32.34,12.178,14.6357,492.83
65.502,32.345,12.177,14.6338,492.77
65.5214,32.355,12.177,14.6318,492.68
65.4914,32.36,12.177,14.6385,492.62
65.462,32.365,12.176,14.6368,492.53
65.4332,32.37,12.176,14.6351,492.47
65.4051,32.375,12.178,14.6335,492.38
65.3776,32.38,12.177,14.6318,492.32
65.3507,32.385,12.178,14.6301,492.26
65.3245,32.39,12.177,14.6285,492.17
65.2989,32.395,12.177,14.6268,492.11
65.2739,32.4,12.177,14.6337,492.05
65.2495,32.405,12.176,14.6324,491.96
65.2258,32.41,12.177,14.631,491.9
65.2532,32.42,12.178,14.6296,491.84
65.2314,32.425,12.178,14.6282,491.78
65.2607,32.435,12.178,14.6268,491.69
65.2407,32.44,12.178,14.634,491.63
65.272,32.45,12.178,14.6329,491.57
65.2539,32.455,12.179,14.6318,491.51
65.287,32.465,12.18,14.6307,491.45
65.2707,32.47,12.18,14.6382,491.39
65.3057,32.48,12.181,14.6374,491.33
