DR1107.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,AR1410B.PV,CCSFIC1401.PV,FRCA1112.PV,TIC_1155.PV,FI1112.PV,TI_1147.PV
265.14,137.4413,134.695,1.4112,86.9,190190,2997.5,608.5625,2997.5,684.575
264.8475,137.025,134.288,1.4113,86.825,190146,2997.25,608.8875,2997.25,684.5
264.0825,136.62,133.881,1.4114,86.925,190113,2999.0,609.2125,2999.0,684.4625
262.5975,135.7875,133.078,1.4115,86.5,190036,2998.75,609.895,2998.75,684.3125
262.5975,135.7875,133.078,1.4115,86.5,190036,2998.75,609.895,2998.75,684.3125
261.0225,134.9662,132.264,1.4117,86.3,189981,2998.75,610.545,2998.75,684.2
261.0225,134.9662,132.264,1.4117,86.3,189981,2998.75,610.545,2998.75,684.2
259.7175,134.55,131.868,1.4118,86.25,189959,2999.75,610.87,2999.75,684.1625
259.47,134.145,131.461,1.4118,86.975,189948,2999.75,611.195,2999.75,684.0875
257.9625,133.7287,131.054,1.4118,86.275,189926,2999.75,611.52,2999.75,684.05
257.31,133.3237,130.658,1.4119,86.65,189915,2999.75,611.845,2999.75,683.975
255.8025,132.4912,129.844,1.4121,86.625,189882,2999.75,612.495,2999.75,683.8625
255.8025,132.4912,129.844,1.4121,86.625,189882,2999.75,612.495,2999.75,683.8625
255.0375,132.0862,129.437,1.4122,86.725,189871,2999.75,612.7875,2999.75,683.7875
253.3725,131.265,128.634,1.4122,86.425,189838,2999.75,613.4375,2999.75,683.675
253.3725,131.265,128.634,1.4122,86.425,189838,2999.75,613.4375,2999.75,683.675
251.865,130.4325,127.831,1.4124,86.575,189816,2999.75,614.055,2999.75,683.5625
251.3475,130.0275,127.424,1.4125,86.425,189805,2999.75,614.3475,2999.75,683.4875
251.3475,130.0275,127.424,1.4125,86.425,189805,2999.75,614.3475,2999.75,683.4875
250.4925,129.6113,127.017,1.4126,86.225,189794,2999.75,614.6725,2999.75,683.45
249.5475,129.2063,126.621,1.4126,86.0,189783,2999.75,614.965,2999.75,683.375
248.985,128.79,126.214,1.4126,86.275,189772,2999.75,615.2575,2999.75,683.3375
