TIC_1155.MV,PI_1180.PV,PIC1101A.PV,PR1102A.PV,PDR1401.PV,LRCA1101.MV,PDR1103.PV,TI_1145.PV
20.3264,0.2137,15.1108,0.2026,12.397,87.6683,9.603,504.71
20.3264,0.2138,15.1108,0.2026,12.397,87.6745,9.603,504.83
20.3263,0.2137,15.1108,0.2026,12.395,87.6802,9.603,504.95
20.3262,0.2138,15.1108,0.2026,12.395,87.6852,9.603,505.04
20.3261,0.2138,15.1108,0.2026,12.394,87.7402,9.602,505.16
20.3261,0.2138,15.1108,0.2026,12.394,87.7445,9.602,505.25
20.326,0.2138,15.1108,0.2025,12.393,87.7483,9.602,505.37
20.3259,0.2138,15.1108,0.2025,12.393,87.7514,9.601,505.49
20.3258,0.2138,15.1108,0.2025,12.392,87.7539,9.6,505.58
20.3258,0.212,15.1022,0.2007,12.392,87.7558,9.599,505.7
20.3257,0.2106,15.1019,0.1993,12.391,87.757,9.573,505.79
20.3256,0.2092,15.1016,0.198,12.39,87.7576,9.541,505.91
20.3255,0.208,15.1013,0.1968,12.388,87.7576,9.505,506.0
20.3255,0.207,15.101,0.1958,12.387,87.757,9.469,506.12
20.3254,0.2062,15.1008,0.1949,12.386,87.7558,9.434,506.24
20.3253,0.2055,15.1005,0.1943,12.385,87.7539,9.402,506.33
20.3252,0.2051,15.0916,0.1938,12.384,87.7514,9.373,506.45
20.3251,0.2048,15.091,0.1935,12.383,87.6976,9.347,506.57
20.3251,0.2045,15.0905,0.1933,12.382,87.6933,9.325,506.69
20.325,0.2044,15.0899,0.1931,12.379,87.6883,9.306,506.81
20.3249,0.2043,15.0808,0.1931,12.378,87.6826,9.289,506.96
20.3248,0.2044,15.0799,0.1931,12.377,87.6764,9.277,507.08
20.3248,0.2046,15.0791,0.1933,12.374,87.6695,9.267,507.2
20.3247,0.2048,15.0697,0.1935,12.372,87.662,9.261,507.35
20.3246,0.205,15.0685,0.1937,12.37,87.6539,9.258,507.47
