DR1107.PV,WRA1103.PV,WR1104.PV,FI1111.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TRC1118A.PV,TI1118A.PV
286.875,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.15,680.0,680.0
286.7175,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.125,680.0,680.0
286.5825,148.6687,145.695,4999.1797,4999.1797,186263,590.1025,86.625,680.0,680.0
286.83,148.6687,145.695,4999.1797,4999.1797,186263,590.1025,86.475,680.0,680.0
286.9425,148.6687,145.695,4999.1797,4999.1797,186263,590.1025,86.05,680.0,680.0
287.145,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.725,680.0,680.0
287.0775,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.375,680.0,680.0
287.505,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.875,680.0,680.0
286.74,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.525,680.0,680.0
287.055,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.575,680.0,680.0
287.3025,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.95,680.0,680.0
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.05,680.0,680.0
286.8975,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.475,680.0,680.0
287.505,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.75,680.0,680.0
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.2,680.0,680.0
287.1,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.575,680.0,680.0
287.1,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.575,680.0,680.0
287.325,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.925,680.0,680.0
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.525,86.1,680.0,680.0
287.415,148.6575,145.684,5000.04,5000.04,186274,590.9475,86.475,680.0,680.0
286.5375,148.6462,145.673,5000.04,5000.04,186274,591.3375,86.075,680.0,680.0
287.415,148.635,145.662,5000.04,5000.04,186274,591.7275,86.0,680.0,680.0
286.9875,148.6125,145.64,5000.8999,5000.8999,186285,592.085,86.25,680.0,680.0
287.235,148.5562,145.585,5000.8999,5000.8999,186296,592.41,86.8,680.0,680.0
286.8975,148.4887,145.519,5000.04,5000.04,186307,592.735,86.475,680.0,680.0
286.65,148.4212,145.453,5000.04,5000.04,186318,593.0275,86.925,680.0,680.0
286.83,148.365,145.398,5000.04,5000.04,186318,593.3525,86.75,680.0,680.0
286.74,148.2862,145.321,5000.04,5000.04,186329,593.645,86.3,680.0,680.0
285.7275,148.2188,145.255,5000.04,5000.04,186340,593.9375,86.275,680.0,680.0
286.065,148.14,145.178,5000.04,5000.04,186340,594.23,86.05,680.0,680.0
285.39,148.0612,145.101,5000.04,5000.04,186351,594.555,86.1,680.0,680.0
285.5925,147.9825,145.024,5000.04,5000.04,186362,594.8475,86.625,680.0,680.0
285.5025,147.9037,144.936,5000.04,5000.04,186362,595.14,86.6,680.0,680.0
285.39,147.8138,144.859,5000.04,5000.04,186373,595.465,86.5,680.0,680.0
285.5025,147.7237,144.771,5000.04,5000.04,186373,595.7575,86.675,680.0,680.0
285.525,147.645,144.683,5000.04,5000.04,186384,596.0825,86.625,680.0,680.0
285.2325,147.555,144.606,5000.04,5000.04,186384,596.375,86.6,680.0,680.0
284.895,147.4762,144.529,5000.04,5000.04,186384,596.6675,86.425,680.0,680.0
284.8725,147.3975,144.441,5000.04,5000.04,186395,596.9925,86.25,680.0,680.0
284.445,147.3187,144.375,5000.04,5000.04,186395,597.285,86.075,680.0,680.0
284.58,147.24,144.298,5000.04,5000.04,186395,597.5775,86.925,680.0,680.0
283.725,147.1725,144.232,5000.04,5000.04,186395,597.87,86.85,680.0,680.0
284.49,147.1162,144.166,5000.04,5000.04,186395,598.1625,86.375,680.0,680.0
284.265,147.0488,144.111,5000.04,5000.04,186395,598.455,86.2,680.0,680.0
