TI_1145.PV,PIC1101A.PV,PDR1401.PV,LRCA1101.MV,LRCA1101.PV,TI1105A.PV,TIC_1101.PV,PDR1103.PV
493.64,15.0069,12.354,78.8939,33.29,554.32,534.03,9.539
493.7,15.0074,12.354,78.9808,33.295,554.4,534.09,9.541
493.73,15.0085,12.354,79.1058,33.3,554.44,534.06,9.545
493.79,15.0085,12.354,79.1058,33.3,554.44,534.06,9.549
493.85,15.0091,12.354,79.1939,33.305,554.4,533.97,9.556
493.88,15.0102,12.354,79.3208,33.31,554.4,533.85,9.563
493.94,15.0107,12.354,79.3595,33.31,554.32,533.73,9.57
494.0,15.0113,12.354,79.3983,33.31,554.2,533.61,9.578
494.03,15.0118,12.354,79.437,33.31,554.08,533.61,9.586
494.03,15.0118,12.354,79.437,33.31,554.08,533.61,9.586
494.03,15.013,12.354,79.5145,33.31,554.08,533.61,9.586
494.03,15.0135,12.354,79.5533,33.31,554.08,533.49,9.586
494.09,15.0141,12.356,79.592,33.31,553.96,533.4,9.594
494.12,15.0146,12.356,79.6308,33.31,553.84,533.25,9.601
494.18,15.0152,12.356,79.6189,33.305,553.72,533.16,9.607
494.21,15.0157,12.356,79.6571,33.305,553.6,533.13,9.613
494.3,15.0163,12.357,79.6445,33.3,553.44,533.13,9.622
494.3,15.0163,12.357,79.6445,33.3,553.44,533.28,9.622
494.36,15.0174,12.358,79.6683,33.295,553.48,533.52,9.615
494.39,15.018,12.358,79.6545,33.29,553.6,533.73,9.605
494.42,15.0185,12.359,79.6908,33.29,553.84,534.0,9.592
494.48,15.0191,12.359,79.6764,33.285,554.08,534.24,9.578
494.57,15.0282,12.36,79.712,33.285,554.6,534.54,9.553
494.57,15.0282,12.36,79.712,33.285,554.6,534.81,9.553
494.6,15.0299,12.36,79.8339,33.29,554.92,535.08,9.544
494.66,15.0221,12.36,79.8702,33.29,555.2,535.32,9.536
494.69,15.0227,12.362,79.9064,33.29,555.48,535.47,9.532
494.75,15.0232,12.362,79.9932,33.295,555.72,535.62,9.528
494.81,15.0238,12.362,80.0301,33.295,555.88,535.68,9.526
494.84,15.0243,12.361,80.1176,33.3,556.04,535.71,9.526
494.9,15.0249,12.361,80.2058,33.305,556.08,535.68,9.528
494.96,15.0254,12.361,80.2439,33.305,556.12,535.65,9.532
495.05,15.026,12.361,80.3326,33.31,556.08,535.59,9.545
495.05,15.0266,12.361,80.3714,33.31,556.08,535.53,9.545
495.11,15.0271,12.361,80.4101,33.31,556.0,535.44,9.554
495.17,15.0191,12.362,80.4489,33.31,555.96,535.26,9.564
495.23,15.0193,12.361,80.5382,33.315,555.84,535.08,9.573
495.26,15.0196,12.361,80.527,33.31,555.68,534.93,9.582
495.32,15.0285,12.361,80.5657,33.31,555.48,534.81,9.591
495.35,15.0291,12.359,80.6045,33.31,555.32,534.72,9.599
495.41,15.0296,12.36,80.5926,33.305,555.2,534.6,9.602
495.44,15.0302,12.36,80.6308,33.305,555.08,534.54,9.604
495.5,15.0307,12.363,80.6182,33.3,554.96,534.48,9.605
495.53,15.0313,12.363,80.6557,33.3,554.92,534.51,9.605
495.59,15.0318,12.363,80.6426,33.295,554.88,534.54,9.605
495.62,15.0324,12.365,80.6289,33.29,554.88,534.57,9.604
495.65,15.0329,12.365,80.6651,33.29,554.92,534.63,9.603
495.71,15.0335,12.365,80.6507,33.285,554.92,534.66,9.603
495.74,15.0427,12.365,80.6357,33.28,555.0,534.72,9.602
495.8,15.0435,12.366,80.6707,33.28,555.04,534.75,9.601
495.83,15.0443,12.366,80.6551,33.275,555.12,534.78,9.6
495.86,15.0366,12.366,80.6895,33.275,555.12,534.78,9.599
495.92,15.0371,12.368,80.6733,33.27,555.16,534.84,9.599
495.95,15.0377,12.368,80.707,33.27,555.16,534.84,9.6
496.04,15.0382,12.367,80.7408,33.27,555.24,534.87,9.603
