LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.192,32.995,9.592,4.148,12.302,45.33,25.44,14.9041,0.178,0.2099,0.1987,539.76,84.6525,85.1325,85.17,82.185,83.5125,82.005,42.9441,519.87,20.3435,488.96
72.1914,32.995,9.596,4.141,12.302,45.078,25.363,14.9041,0.1781,0.2101,0.1989,539.64,84.6225,85.08,85.1925,82.2,83.5125,82.0425,42.9559,519.78,20.3587,488.93
72.1401,32.99,9.602,4.136,12.302,44.982,25.253,14.9041,0.1779,0.2102,0.199,539.56,84.66,85.0575,85.23,82.26,83.5275,82.065,42.9681,519.69,20.3591,488.93
72.1389,32.99,9.606,4.12,12.302,44.88,25.1595,14.9041,0.1777,0.2103,0.1991,539.48,84.69,85.08,85.2,82.245,83.475,82.08,42.9844,519.57,20.3595,488.93
72.1376,32.99,9.61,4.096,12.302,44.892,25.088,14.9041,0.1774,0.2102,0.1991,539.36,84.72,85.125,85.2375,82.2375,83.49,82.11,42.9899,519.54,20.36,488.93
72.0858,32.985,9.613,4.072,12.302,45.408,25.0605,14.9041,0.1768,0.2098,0.1986,539.32,84.6975,85.125,85.2525,82.2675,83.445,82.1025,42.988,519.57,20.3604,488.93
72.0839,32.985,9.607,4.037,12.302,45.858,25.2035,14.9041,0.1764,0.2094,0.1982,539.36,84.6975,85.125,85.2225,82.26,83.4,82.095,42.9859,519.6,20.3608,488.93
72.082,32.985,9.599,4.023,12.302,46.11,25.407,14.9041,0.1767,0.2092,0.1979,539.36,84.7125,85.1325,85.2825,82.2825,83.4225,82.0725,42.9838,519.63,20.3612,488.93
72.0801,32.985,9.592,4.056,12.302,46.308,25.594,14.9041,0.1773,0.209,0.1977,539.4,84.6525,85.0875,85.2675,82.275,83.4675,82.0875,42.974,519.72,20.3616,488.93
72.0783,32.985,9.586,4.116,12.302,46.482,25.7425,14.9041,0.1779,0.2088,0.1975,539.52,84.6,85.125,85.2375,82.305,83.49,82.0275,42.9601,519.84,20.3468,488.93
72.0764,32.985,9.579,4.169,12.302,46.602,25.8525,14.9041,0.1783,0.2086,0.1974,539.64,84.555,85.095,85.275,82.2825,83.4675,82.0575,42.9457,519.96,20.3467,488.93
72.0745,32.985,9.574,4.205,12.302,46.68,25.935,14.9041,0.1785,0.2086,0.1973,539.76,84.5475,85.125,85.23,82.2375,83.4825,82.0275,42.9309,520.08,20.3466,488.93
72.1232,32.99,9.57,4.226,12.302,46.704,25.9955,14.9041,0.1786,0.2085,0.1973,539.88,84.5025,85.1175,85.245,82.2075,83.52,82.0575,42.9155,520.2,20.3465,488.93
72.122,32.99,9.567,4.237,12.302,46.698,26.023,14.9041,0.1787,0.2086,0.1973,540,84.54,85.11,85.2075,82.1925,83.4825,82.065,42.9034,520.29,20.3464,488.93
72.1714,32.995,9.565,4.243,12.302,46.65,26.045,14.9041,0.1787,0.2086,0.1973,540.08,84.5625,85.14,85.2525,82.185,83.5275,82.08,42.8947,520.35,20.3464,488.93
72.1707,32.995,9.564,4.246,12.302,46.578,26.045,14.9041,0.1787,0.2086,0.1974,540.16,84.5625,85.17,85.2975,82.185,83.5425,82.08,42.8821,520.44,20.3463,488.93
