TI_1145.PV,TI1105A.PV,PDR1106.PV,TIC_1101.MV,TIA2872.PV,PI_1180.PV,WR1104.PV,TIA2876.PV,PDR1401.PV,PR1102A.PV,LRCA1101.PV,LRCA1101.MV,PDRSA1104.PV,PIC1101A.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,PI_1132A.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,TI_1144.PV
489.26,544.08,4.564,85.9362,84.6,0.2436,145.585,83.3775,12.302,0.2323,33.105,66.3167,-14.633,14.8919,11.712,523.86,81.96,21.6974,82.2825,9.507,0.1648,0.2232,85.2825,85.0875,148.5562,517.88
489.29,543.8,4.535,85.9657,84.645,0.2438,145.585,83.4,12.303,0.2325,33.11,66.3805,-14.721,14.8922,11.508,523.5,81.9675,21.6974,82.29,9.512,0.1649,0.2228,85.275,85.0875,148.5562,517.88
489.29,543.44,4.495,86.0042,84.5925,0.244,145.596,83.415,12.304,0.2327,33.115,66.4448,-14.82,14.9011,11.298,523.08,81.9675,21.6973,82.32,9.516,0.165,0.2223,85.305,85.08,148.5675,517.91
489.32,543,4.444,86.0556,84.555,0.2443,145.596,83.4525,12.304,0.233,33.115,66.4592,-14.9245,14.9016,11.028,522.57,81.9375,21.6972,82.3425,9.522,0.1651,0.2216,85.3125,85.05,148.5675,517.94
489.35,542.48,4.38,86.1241,84.5925,0.2446,145.596,83.415,12.305,0.2333,33.115,66.4736,-15.051,14.9022,10.746,521.94,81.9825,21.6971,82.3575,9.528,0.1653,0.2207,85.3425,85.05,148.5675,517.94
489.35,541.8,4.301,86.1989,84.6225,0.2447,145.607,83.43,12.308,0.2335,33.115,66.488,-15.194,14.9027,10.608,521.28,81.99,21.6971,82.3425,9.535,0.1654,0.2194,85.3425,85.1025,148.5788,517.97
489.38,541.12,4.196,86.2652,84.5925,0.2447,145.607,83.4675,12.309,0.2334,33.11,66.4517,-15.293,14.9033,10.644,520.71,82.02,21.697,82.3425,9.541,0.1654,0.2178,85.3575,85.1325,148.5788,517.97
489.38,540.56,4.063,86.3224,84.5775,0.2446,145.618,83.505,12.309,0.2334,33.1,66.3642,-15.3095,14.9038,10.722,520.23,82.0275,21.6969,82.38,9.543,0.1654,0.2161,85.3425,85.1625,148.59,517.97
489.38,540.04,3.934,86.3703,84.5775,0.2446,145.618,83.535,12.31,0.2333,33.095,66.3261,-15.2875,14.9044,10.788,519.84,82.035,21.6968,82.365,9.544,0.1653,0.215,85.3425,85.11,148.59,517.97
489.38,539.64,3.851,86.4086,84.5775,0.2445,145.629,83.505,12.311,0.2333,33.085,66.2367,-15.2545,14.9136,10.872,519.54,82.0725,21.6968,82.395,9.544,0.1653,0.2147,85.3275,85.14,148.6012,517.97
489.38,539.32,3.831,86.4367,84.6225,0.2445,145.629,83.475,12.311,0.2332,33.075,66.1461,-15.2215,14.9144,10.944,519.33,82.065,21.6967,82.41,9.544,0.1653,0.215,85.35,85.14,148.6012,517.97
489.38,539.08,3.857,86.4657,84.63,0.2444,145.64,83.4975,12.312,0.2331,33.07,66.1049,-15.1995,14.9152,10.986,519.12,82.0575,21.6966,82.4325,9.544,0.1653,0.2156,85.3725,85.1775,148.6125,517.97
489.38,538.88,3.906,86.4843,84.5925,0.2444,145.64,83.46,12.315,0.2331,33.06,66.0123,-15.194,14.9161,11.016,519,82.08,21.6965,82.425,9.545,0.1653,0.2163,85.3425,85.2075,148.6125,517.97
489.38,538.76,3.956,86.5072,84.57,0.2444,145.651,83.4675,12.315,0.2331,33.055,65.9692,-15.205,14.9169,11.022,518.85,82.11,21.6965,82.455,9.545,0.1653,0.2168,85.365,85.17,148.6237,517.97
489.38,538.6,3.994,86.5231,84.6075,0.2444,145.651,83.4825,12.316,0.2331,33.055,65.9761,-15.227,14.9177,11.028,518.76,82.0575,21.6964,82.4175,9.546,0.1653,0.2171,85.35,85.1775,148.6237,517.97
