LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1101.SV,TI_1145.PV
72.3633,33.005,9.608,3.983,12.303,45.108,25.154,14.9041,0.1764,0.2099,0.1987,539.24,84.525,84.9525,85.26,82.245,83.4375,81.9975,42.9406,519.48,20.3424,520,489.02
72.3133,33,9.604,4.005,12.303,45.36,25.286,14.9127,0.1768,0.2098,0.1985,539.2,84.54,84.9225,85.2675,82.29,83.475,81.99,42.9502,519.42,20.3424,520,489.02
72.3133,33,9.601,4.047,12.304,45.516,25.3905,14.913,0.1773,0.2097,0.1984,539.2,84.5025,84.9675,85.2975,82.2825,83.4675,82.0125,42.9525,519.42,20.3423,520,489.02
72.2627,32.995,9.599,4.09,12.304,45.582,25.4565,14.9133,0.1777,0.2097,0.1984,539.2,84.5175,84.9825,85.305,82.2825,83.445,82.0275,42.9549,519.42,20.3422,520,489.02
72.2621,32.995,9.597,4.124,12.306,45.588,25.4675,14.9136,0.178,0.2097,0.1985,539.16,84.57,84.945,85.26,82.2825,83.46,82.0125,42.9572,519.42,20.3421,520,489.02
72.2615,32.995,9.599,4.145,12.306,45.48,25.4345,14.9138,0.1778,0.2094,0.1982,539.24,84.57,84.96,85.2975,82.26,83.4675,82.035,42.9558,519.45,20.3421,520,489.02
72.2608,32.995,9.594,4.134,12.306,45.804,25.5005,14.9055,0.1776,0.2093,0.1981,539.28,84.6225,84.93,85.2825,82.275,83.4225,82.065,42.9505,519.51,20.342,520,489.02
72.2602,32.995,9.591,4.12,12.306,45.966,25.583,14.9055,0.1776,0.2094,0.1981,539.32,84.6375,84.975,85.275,82.32,83.4525,82.065,42.9487,519.54,20.3419,520,489.02
72.2596,32.995,9.589,4.13,12.306,45.936,25.616,14.9055,0.1779,0.2093,0.1981,539.36,84.615,84.945,85.3125,82.3125,83.4825,82.065,42.9468,519.57,20.3418,520,489.02
72.2589,32.995,9.589,4.152,12.305,45.894,25.6215,14.9055,0.1781,0.2094,0.1982,539.4,84.6525,84.9525,85.29,82.26,83.475,82.0875,42.9411,519.63,20.3418,520,488.99
72.2583,32.995,9.589,4.168,12.305,45.858,25.594,14.9055,0.1782,0.2094,0.1982,539.44,84.6525,85.0125,85.275,82.2975,83.52,82.05,42.9388,519.66,20.3417,520,488.99
