PRCA1101B.PV,PI_1136.PV,TI1116A.PV,TI_1142.PV,TI_1149A.PV,FIC_1127.PV,TDRCA1117A.OUT,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,TI1111.PV,PI_1138A.PV,PDI_1138.OUT,TI1115A.PV,TI1135.PV,TRCA1130.PV,PDRCA1109.PV,FRC1102.PV,PI_1180.PV,PRA1102.PV,FRSA1101.PV,PR1401.PV,TI_1150A.PV,TI_1151A.PV,PI_1132A.PV,TIC_1101.PV,PDI_1132.OUT,FIC_1121.PV,PDRA1102.OUT,WR1104.PV,TI_1146.PV,PR1102A.PV,PIK1101A.OUT,PDR1106.PV,TIC_1155.PV,TI1117A.PV,PDR1401.PV
0.14997,0.24392,517.399963,517.399963,520.440002,599.940002,3.299988,590.037476,9.403999,540.23999,212.479996,661.299988,0.12042,661.299988,486.85498,0.117675,4.534997,669.649963,340.149994,212.479996,55.385998,999.599976,0.19928,0.113145,169.679993,0.14997,520.440002,520.440002,0.164925,520.440002,47.764996,345.209991,71.369995,145.694992,685.639954,0.18852,52.246101,4.016,590.037476,676.200012,12.297
0.15,0.24392,517.399963,517.399963,520.440002,600,3.299988,590.037476,9.403999,540.23999,212.479996,661.299988,0.12042,661.299988,486.85498,0.117675,4.534997,669.649963,340.100006,212.479996,55.391998,999.599976,0.19928,0.113145,169.651993,0.15,520.440002,520.440002,0.16495,520.440002,47.789997,345.209991,71.369995,145.694992,685.639954,0.18852,52.254436,4.018,590.037476,676.200012,12.294
0.15,0.24392,517.399963,517.399963,520.440002,600,3.299988,590.037476,9.403999,540.23999,212.479996,661.299988,0.12042,661.299988,486.85498,0.11765,4.509993,669.649963,340.100006,212.479996,55.403999,999.599976,0.1992,0.11313,169.623993,0.15,520.440002,520.440002,0.164925,520.440002,47.764996,345.209991,71.369995,145.694992,685.639954,0.18852,52.254436,4.018,590.037476,676.200012,12.294
0.15,0.24392,517.399963,517.399963,520.440002,600,3.299988,590.037476,9.403999,540.23999,212.479996,661.299988,0.1204,661.299988,486.85498,0.11765,4.529998,669.649963,340.049988,212.479996,55.427998,999.599976,0.1992,0.11313,169.610001,0.15,520.440002,520.440002,0.164925,520.440002,47.785,345.209991,71.340004,145.694992,685.639954,0.18849,52.254436,4.018,590.037476,676.200012,12.294
0.14997,0.24392,517.399963,517.429993,520.469971,600,3.299988,590.037476,9.403,540.279968,212.479996,661.349976,0.1204,661.349976,486.85498,0.11765,4.529998,669.649963,340,212.479996,55.458,999.599976,0.1992,0.113115,169.567993,0.14997,520.469971,520.469971,0.1649,520.469971,47.759995,345.209991,71.340004,145.694992,685.639954,0.18846,52.245823,4.018,590.037476,676.200012,12.294
0.14997,0.24392,517.399963,517.429993,520.469971,600,3.299988,590.037476,9.403,540.279968,212.479996,661.349976,0.12038,661.349976,486.85498,0.117625,4.524998,669.649963,339.949982,212.479996,55.505997,1000.199951,0.19912,0.1131,169.554001,0.14997,520.469971,520.469971,0.164875,520.469971,47.755005,345.209991,71.279999,145.705994,685.639954,0.1884,52.245544,4.018,590.037476,676.200012,12.295
0.14997,0.24392,517.399963,517.429993,520.5,600.059998,3.349976,590.037476,9.401999,540.279968,212.479996,661.349976,0.12036,661.349976,486.899994,0.1176,4.519991,669.649963,339.899994,212.479996,55.548,1000.199951,0.19904,0.11307,169.511993,0.14997,520.5,520.5,0.164875,520.5,47.775002,345.23999,71.279999,145.705994,685.639954,0.18837,52.245266,4.017,590.037476,676.200012,12.295
0.14997,0.24392,517.399963,517.429993,520.529968,600.059998,3.349976,590.037476,9.4,540.320007,212.479996,661.349976,0.12034,661.349976,486.899994,0.117575,4.515,669.649963,339.899994,212.479996,55.59,1000.199951,0.19904,0.113055,169.483994,0.14997,520.529968,520.529968,0.1649,520.529968,47.819996,345.23999,71.25,145.705994,685.639954,0.18831,52.244987,4.018,590.037476,676.200012,12.294
0.14997,0.24392,517.399963,517.429993,520.559998,600.059998,3.349976,590.037476,9.399,540.359985,212.459991,661.349976,0.12032,661.349976,486.899994,0.11755,4.530005,669.649963,339.850006,212.459991,55.625999,1000.199951,0.19896,0.113025,169.442001,0.14997,520.559998,520.559998,0.164925,520.559998,47.864994,345.23999,71.220001,145.705994,685.639954,0.18828,52.244709,4.021,590.037476,676.200012,12.292999
0.14997,0.2439,517.399963,517.429993,520.589966,600.059998,3.349976,590.037476,9.398,540.399963,212.459991,661.349976,0.1203,661.349976,486.899994,0.117525,4.524998,669.649963,339.799988,212.459991,55.667999,1000.199951,0.19896,0.11301,169.386002,0.14997,520.589966,520.589966,0.16495,520.589966,47.909996,345.23999,71.220001,145.705994,685.639954,0.18825,52.244431,4.025,590.037476,676.200012,12.292999
0.14997,0.2439,517.399963,517.429993,520.649963,600.119995,3.349976,590.037476,9.396999,540.399963,212.459991,661.349976,0.12026,661.349976,486.899994,0.1175,4.519999,669.649963,339.799988,212.459991,55.733997,1000.199951,0.19888,0.11298,169.343994,0.14997,520.649963,520.649963,0.16495,520.649963,47.93,345.23999,71.160004,145.705994,685.639954,0.18816,52.244152,4.029,590.037476,676.200012,12.292999
0.14997,0.2439,517.399963,517.429993,520.679993,600.119995,3.349976,590.037476,9.395,540.440002,212.459991,661.349976,0.12024,661.349976,486.899994,0.117475,4.534997,669.649963,339.799988,212.459991,55.793999,1000.199951,0.1988,0.11295,169.287994,0.14997,520.679993,520.679993,0.164925,520.679993,47.944992,345.23999,71.130005,145.705994,685.639954,0.1881,52.243874,4.031,590.037476,676.200012,12.292
0.14997,0.2439,517.399963,517.429993,520.73999,600.119995,3.349976,590.037476,9.393,540.519958,212.459991,661.349976,0.1202,661.349976,486.899994,0.11745,4.529998,669.649963,339.75,212.459991,55.854,1000.199951,0.19872,0.11292,169.218002,0.14997,520.73999,520.73999,0.164925,520.73999,47.964996,345.269989,71.100006,145.705994,685.639954,0.18804,52.243595,4.032,590.037476,676.200012,12.292
0.14997,0.2439,517.450012,517.429993,520.799988,600.179993,3.349976,590.037476,9.391,540.559998,212.459991,661.349976,0.12016,661.349976,486.899994,0.1174,4.519999,669.700012,339.75,212.459991,55.931999,1000.199951,0.19864,0.112875,169.162003,0.14997,520.799988,520.799988,0.1649,520.799988,47.979988,345.269989,71.069992,145.705994,685.639954,0.18798,52.243317,4.034,590.037476,676.200012,12.292
