LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.0083,32.97,9.618,4.086,12.304,45.114,25.077,14.9063,0.1777,0.21,0.1989,538.76,84.5925,85.005,85.1625,82.3125,83.505,82.0125,43.0486,519.06,20.342,488.96
72.0046,32.97,9.618,4.096,12.304,45.504,25.088,14.9063,0.1775,0.2097,0.1985,538.8,84.6375,84.99,85.2225,82.29,83.46,82.0425,43.0448,519.12,20.3419,488.96
72.0008,32.97,9.612,4.089,12.303,45.774,25.209,14.9063,0.1773,0.2094,0.1982,538.88,84.645,84.975,85.2075,82.2675,83.4525,82.0425,43.0371,519.21,20.3418,488.93
71.997,32.97,9.606,4.087,12.303,46.008,25.352,14.9063,0.1774,0.2092,0.198,539,84.6675,85.005,85.2,82.2375,83.4525,81.9975,43.0253,519.33,20.3418,488.93
71.9933,32.97,9.599,4.105,12.303,46.206,25.495,14.9063,0.1777,0.209,0.1978,539.08,84.6525,84.9975,85.26,82.29,83.505,82.035,43.0092,519.48,20.3417,488.93
71.9895,32.97,9.593,4.137,12.303,46.404,25.6215,14.9063,0.178,0.2087,0.1976,539.24,84.6525,85.05,85.245,82.3275,83.5275,82.02,42.9888,519.66,20.3416,488.93
71.9858,32.97,9.586,4.169,12.303,46.578,25.7315,14.8977,0.1782,0.2086,0.1974,539.44,84.6375,85.0425,85.26,82.3575,83.535,82.02,42.9751,519.78,20.3415,488.93
72.0327,32.975,9.58,4.194,12.303,46.668,25.8305,14.8974,0.1784,0.2085,0.1973,539.56,84.645,85.0125,85.2375,82.35,83.5575,82.005,42.9535,519.96,20.3414,488.93
72.0295,32.975,9.575,4.216,12.302,46.752,25.9185,14.8972,0.1786,0.2085,0.1972,539.76,84.615,84.975,85.2075,82.3575,83.5275,81.9975,42.9423,520.05,20.3414,488.93
72.077,32.98,9.57,4.234,12.3,46.764,25.9955,14.9055,0.1787,0.2083,0.1972,539.84,84.6075,84.9675,85.1775,82.335,83.505,81.9825,42.9196,520.23,20.3413,488.93
72.0745,32.98,9.566,4.247,12.3,46.8,26.0505,14.9055,0.1787,0.2084,0.1972,540.04,84.585,85.02,85.2,82.335,83.5275,82.005,42.9112,520.29,20.3412,488.93
72.1227,32.985,9.562,4.252,12.3,46.758,26.078,14.9055,0.1787,0.2084,0.1972,540.12,84.585,85.05,85.2075,82.29,83.55,81.975,42.895,520.41,20.3411,488.93
72.1208,32.985,9.56,4.256,12.302,46.704,26.0945,14.8969,0.1787,0.2086,0.1973,540.2,84.585,85.05,85.17,82.2825,83.5275,82.0275,42.8895,520.44,20.3411,488.93
72.1695,32.99,9.559,4.256,12.301,46.578,26.078,14.8966,0.1788,0.2086,0.1974,540.24,84.5475,85.0725,85.2,82.32,83.565,81.99,42.884,520.47,20.341,488.93
