FI1127,FRCA1110,LRCA1101,PDRSA1104,PI1132,TI1105,TI1145,FRC1424,TI1142,DR1106
600.12,11.1161,33.08,26.265,0.1278,544,489.23,4.605,517.85,57.6
600.12,11.116,33.075,26.276,0.1278,544,489.26,4.605,517.85,57.6
600.12,11.1158,33.075,26.287,0.1278,544,489.26,4.605,517.88,57.6
600.12,11.1156,33.075,26.298,0.1278,544,489.29,4.605,517.91,57.6
600,11.1154,33.075,26.3145,0.1278,544,489.32,4.605,517.91,57.5625
600,11.1153,33.07,26.331,0.1278,544,489.32,4.605,517.94,57.6375
600,11.1151,33.07,26.342,0.1278,544,489.35,4.605,517.97,57.525
600,11.1149,33.07,26.3585,0.1278,544,489.38,4.6075,517.97,57.6375
600,11.1148,33.065,26.3695,0.1277,544,489.38,4.6075,518,57.6
600.06,11.1146,33.065,26.386,0.1277,544,489.41,4.6075,518.03,57.6
600.06,11.1182,33.065,26.408,0.1277,544,489.41,4.6075,518.03,57.5625
600.06,11.1192,33.06,26.4245,0.1277,544,489.44,4.6075,518.06,57.5625
600.06,11.1203,33.06,26.441,0.1277,544,489.47,4.6075,518.09,57.5625
600.06,11.1177,33.06,26.452,0.1277,544,489.47,4.6075,518.09,57.5625
600.06,11.1175,33.055,26.463,0.1277,544,489.5,4.61,518.12,57.5625
600.06,11.1143,33.055,26.474,0.1276,544,489.5,4.61,518.12,57.5625
600.12,11.1161,33.055,26.485,0.1276,544,489.53,4.61,518.15,57.5625
600.12,11.116,33.05,26.5015,0.1276,544,489.56,4.61,518.18,57.525
600.12,11.1195,33.05,26.5125,0.1276,544,489.56,4.61,518.18,57.5625
600.12,11.1176,33.05,26.518,0.1276,544,489.59,4.61,518.21,57.525
600.12,11.1177,33.045,26.5345,0.1276,544,489.59,4.61,518.21,57.5625
600.12,11.1178,33.045,26.551,0.1276,543.96,489.62,4.61,518.24,57.5625
600,11.1179,33.045,26.562,0.1275,543.96,489.62,4.6125,518.27,57.6
600,11.1179,33.045,26.5785,0.1275,543.96,489.65,4.6125,518.27,57.6
600,11.118,33.04,26.5895,0.1275,543.96,489.68,4.6125,518.3,57.5625
600,11.1181,33.04,26.6005,0.1275,543.96,489.68,4.6125,518.3,57.5625
600,11.1182,33.04,26.6225,0.1275,543.96,489.71,4.6125,518.33,57.6
600,11.1182,33.035,26.6335,0.1275,543.96,489.71,4.6125,518.36,57.6
600,11.1183,33.035,26.6445,0.1275,543.96,489.74,4.6125,518.36,57.6
600,11.1184,33.035,26.65,0.1275,543.92,489.74,4.6125,518.39,57.6
600,11.1185,33.03,26.6555,0.1275,543.92,489.77,4.6125,518.39,57.6
600,11.1186,33.03,26.6555,0.1275,543.92,489.77,4.6125,518.42,57.6
600.06,11.1186,33.03,26.661,0.1275,543.88,489.8,4.6125,518.42,57.6
600.06,11.1187,33.025,26.6665,0.1274,543.88,489.8,4.6125,518.45,57.6
600.06,11.1188,33.025,26.6775,0.1274,543.84,489.83,4.615,518.45,57.6
600.06,11.1189,33.025,26.683,0.1274,543.84,489.83,4.615,518.48,57.6
600.06,11.119,33.02,26.6885,0.1274,543.84,489.86,4.615,518.51,57.6
600.06,11.119,33.02,26.6995,0.1274,543.8,489.86,4.615,518.51,57.525
600.06,11.1191,33.02,26.705,0.1274,543.8,489.89,4.615,518.54,57.6
600.06,11.1192,33.02,26.716,0.1274,543.76,489.89,4.615,518.54,57.6
600.06,11.1193,33.015,26.727,0.1274,543.76,489.92,4.615,518.57,57.6
600.06,11.1193,33.015,26.7435,0.1274,543.76,489.92,4.615,518.57,57.6
600.06,11.1194,33.015,26.749,0.1274,543.72,489.95,4.615,518.6,57.5625
600.12,11.1195,33.01,26.7545,0.1274,543.72,489.95,4.615,518.6,57.5625
600.12,11.1196,33.01,26.76,0.1273,543.72,489.98,4.615,518.63,57.6
600.12,11.1197,33.01,26.771,0.1273,543.68,489.98,4.615,518.63,57.525
600.12,11.1197,33.005,26.7765,0.1273,543.68,490.01,4.6175,518.63,57.5625
600.12,11.1198,33.005,26.7875,0.1273,543.64,490.01,4.6175,518.66,57.525
599.94,11.1199,33.005,26.7985,0.1273,543.64,490.01,4.6175,518.66,57.5625
600,11.12,33,26.804,0.1273,543.64,490.04,4.6175,518.69,57.6
600,11.12,33,26.8095,0.1273,543.6,490.04,4.6175,518.69,57.5625
600.12,11.1201,33,26.8205,0.1273,543.6,490.07,4.6175,518.72,57.5625
600,11.1202,33,26.8315,0.1273,543.6,490.07,4.6175,518.72,57.5625
600,11.1173,32.995,26.8425,0.1273,543.56,490.1,4.6175,518.75,57.6
600,11.1164,32.995,26.848,0.1273,543.56,490.1,4.6175,518.75,57.525
600,11.1154,32.995,26.8535,0.1273,543.56,490.1,4.6175,518.75,57.5625
600,11.1175,32.99,26.859,0.1273,543.52,490.13,4.6175,518.78,57.5625
600,11.1176,32.99,26.859,0.1273,543.52,490.13,4.6175,518.78,57.5625
600,11.1177,32.99,26.8645,0.1273,543.48,490.16,4.6175,518.81,57.5625
600,11.1178,32.99,26.8645,0.1272,543.48,490.16,4.6175,518.81,57.525
600,11.1178,32.985,26.8645,0.1272,543.44,490.16,4.6175,518.81,57.6
600,11.1179,32.985,26.87,0.1272,543.44,490.19,4.6175,518.84,57.6
600,11.118,32.985,26.8755,0.1272,543.4,490.19,4.6175,518.84,57.6
600,11.1181,32.98,26.881,0.1272,543.4,490.19,4.62,518.87,57.525
600,11.1189,32.98,26.881,0.1272,543.36,490.22,4.62,518.87,57.6375
600.06,11.1192,32.98,26.892,0.1272,543.36,490.22,4.62,518.87,57.5625
600.06,11.1196,32.98,26.9085,0.1272,543.32,490.22,4.62,518.9,57.6
600.06,11.1199,32.975,26.914,0.1272,543.32,490.25,4.62,518.9,57.6
600.06,11.1202,32.975,26.9195,0.1272,543.28,490.25,4.62,518.9,57.525
600,11.1205,32.975,26.914,0.1272,543.28,490.25,4.62,518.93,57.5625
600.06,11.1209,32.97,26.903,0.1272,543.24,490.28,4.62,518.93,57.6
600.06,11.1174,32.97,26.903,0.1272,543.2,490.28,4.62,518.93,57.6
600.06,11.1165,32.97,26.903,0.1272,543.2,490.28,4.62,518.96,57.5625
600.06,11.1156,32.97,26.9085,0.1272,543.16,490.31,4.62,518.96,57.5625
600.06,11.1184,32.965,26.9085,0.1272,543.12,490.31,4.62,518.96,57.5625
600.06,11.1188,32.965,26.914,0.1272,543.12,490.31,4.62,518.99,57.6
600.06,11.1191,32.965,26.914,0.1272,543.08,490.34,4.62,518.99,57.5625
600.06,11.1194,32.965,26.914,0.1272,543.04,490.34,4.62,518.99,57.6
600.06,11.1197,32.96,26.914,0.1272,543.04,490.34,4.62,519.02,57.5625
600.06,11.1201,32.96,26.914,0.1272,543,490.34,4.62,519.02,57.5625
600.06,11.1204,32.96,26.903,0.1272,542.96,490.37,4.62,519.02,57.525
600.06,11.1207,32.955,26.903,0.1272,542.92,490.37,4.62,519.02,57.5625
600.06,11.1173,32.955,26.903,0.1272,542.92,490.37,4.62,519.05,57.6
600.06,11.1164,32.955,26.903,0.1272,542.88,490.37,4.62,519.05,57.525
599.88,11.1155,32.955,26.903,0.1272,542.84,490.4,4.62,519.05,57.6375
599.88,11.1183,32.95,26.903,0.1272,542.8,490.4,4.62,519.05,57.5625
599.88,11.1186,32.95,26.903,0.1272,542.8,490.4,4.6175,519.08,57.5625
600.06,11.1189,32.95,26.903,0.1272,542.76,490.4,4.6175,519.08,57.5625
600.06,11.1193,32.95,26.8975,0.1272,542.72,490.43,4.6175,519.08,57.525
600,11.1196,32.945,26.8975,0.1272,542.68,490.43,4.6175,519.08,57.5625
600,11.1199,32.945,26.892,0.1272,542.64,490.43,4.6175,519.08,57.525
600,11.1203,32.945,26.892,0.1272,542.6,490.43,4.6175,519.11,57.6375
600,11.1206,32.945,26.8865,0.1272,542.6,490.43,4.6175,519.11,57.5625
600,11.1209,32.94,26.8865,0.1272,542.56,490.43,4.6175,519.11,57.6
600,11.1182,32.94,26.881,0.1272,542.52,490.46,4.6175,519.11,57.525
600,11.1176,32.94,26.881,0.1272,542.48,490.46,4.6175,519.11,57.6
600,11.1169,32.94,26.87,0.1272,542.44,490.46,4.6175,519.11,57.5625
600,11.1192,32.935,26.8645,0.1272,542.4,490.46,4.6175,519.14,57.525
600,11.1196,32.935,26.859,0.1272,542.36,490.46,4.6175,519.14,57.5625
600,11.1199,32.935,26.8535,0.1272,542.32,490.46,4.6175,519.14,57.5625
600,11.1202,32.935,26.848,0.1272,542.28,490.46,4.6175,519.14,57.5625
600,11.1205,32.93,26.837,0.1272,542.24,490.49,4.615,519.14,57.6
600,11.1209,32.93,26.8315,0.1272,542.2,490.49,4.615,519.14,57.5625
600,11.1182,32.93,26.8205,0.1272,542.16,490.49,4.615,519.14,57.5625
600,11.1175,32.93,26.8095,0.1273,542.12,490.49,4.615,519.14,57.6
600,11.1169,32.925,26.7985,0.1273,542.08,490.49,4.615,519.14,57.5625
599.94,11.1199,32.925,26.793,0.1273,542.04,490.49,4.615,519.17,57.525
599.94,11.1205,32.925,26.7875,0.1273,542,490.49,4.615,519.17,57.5625
599.94,11.1211,32.925,26.782,0.1273,541.96,490.49,4.615,519.17,57.6
599.94,11.1217,32.92,26.771,0.1273,541.92,490.49,4.615,519.17,57.5625
599.94,11.1185,32.92,26.7545,0.1273,541.88,490.49,4.615,519.17,57.6
599.94,11.1178,32.92,26.7435,0.1273,541.84,490.49,4.615,519.17,57.6
599.94,11.1172,32.92,26.738,0.1273,541.8,490.49,4.6125,519.17,57.6
599.94,11.1202,32.915,26.738,0.1273,541.76,490.49,4.6125,519.17,57.5625
599.94,11.1208,32.915,26.7325,0.1273,541.72,490.49,4.6125,519.17,57.525
599.94,11.1214,32.915,26.7215,0.1273,541.68,490.49,4.6125,519.17,57.6
599.94,11.1182,32.915,26.6995,0.1273,541.64,490.49,4.6125,519.17,57.5625
599.94,11.1176,32.915,26.6885,0.1274,541.56,490.49,4.6125,519.17,57.6
599.94,11.1169,32.91,26.6775,0.1274,541.52,490.49,4.6125,519.17,57.6
599.88,11.12,32.91,26.672,0.1274,541.48,490.49,4.6125,519.17,57.5625
599.88,11.1205,32.91,26.6665,0.1274,541.44,490.49,4.6125,519.17,57.525
599.88,11.1211,32.91,26.661,0.1274,541.4,490.49,4.61,519.17,57.5625
600.06,11.1217,32.91,26.6445,0.1274,541.36,490.49,4.61,519.17,57.525
600,11.1185,32.905,26.628,0.1274,541.32,490.49,4.61,519.17,57.6
600,11.1179,32.905,26.6115,0.1274,541.28,490.49,4.61,519.17,57.525
599.88,11.1172,32.905,26.6005,0.1274,541.24,490.49,4.61,519.17,57.6
600,11.1203,32.905,26.5895,0.1274,541.2,490.49,4.61,519.14,57.525
