TIA1160A.PV,AR1410B.PV,DR1107.PV,FRCA1112.PV,FI1112.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,CCSFIC1401.PV,TIC_1155.PV
184.015,86.4,287.01,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.975,286.92,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.375,286.74,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.725,287.46,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.1,286.5825,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.45,286.83,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.05,287.4375,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.625,287.19,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.2,286.9875,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.75,286.5825,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.4,287.19,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.45,286.74,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.35,287.37,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.75,286.5825,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.9,287.325,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.9,286.785,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.925,286.5375,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
184.015,86.525,287.145,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.95,286.7175,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.3,286.7175,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.725,286.83,2999.75,2999.75,148.6687,145.695,0.2081,186263,590.1025
184.015,86.475,287.4375,2999.75,2999.75,148.6687,145.695,0.2081,186263,590.1025
184.015,86.125,287.37,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.725,287.505,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.825,287.505,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.125,286.875,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.875,287.1225,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.1,287.2125,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.45,287.325,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.15,286.7625,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.075,286.695,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.225,287.0775,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.525,287.0325,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.475,286.6725,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.3,287.145,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.15,286.875,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.125,286.7175,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.625,286.5825,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.1025
184.015,86.475,286.83,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.05,286.9425,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.725,287.145,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.375,287.0775,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.875,287.505,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.525,286.74,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.575,287.055,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.95,287.3025,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.05,286.6275,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.475,286.8975,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.75,287.505,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.2,286.6275,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.575,287.1,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.575,287.1,3000.0,3000.0,148.6687,145.695,0.208,186263,590.1025
184.015,86.925,287.325,2999.75,2999.75,148.6687,145.695,0.208,186263,590.1025
184.015,86.1,286.6275,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.525
